,Start,End,Style,StyleInd,hasIcon
700,1462.26,1465.23,Hanabusa,1,True
701,1464.96,1466.4,Sumire,3,True
702,1465.23,1466.9,Ema,4,True
703,1467.13,1468.86,Sumire,3,True
704,1468.86,1472.03,Ichinose,2,True
705,1471.36,1473.33,Sumire,3,True
706,1472.96,1473.93,Hinano,5,True
707,1474.9,1475.78,Ichinose - Center,-1,False
708,1475.78,1478.88,Ichinose - Center,-1,False
709,1478.88,1481.66,Ichinose - Center,-1,False
